SQL Statements,Modified_Statements,Missing Type,Missing Element,Error Position,Query Length,Query Type
SELECT CAST(CAST([GMT date] AS DATE) AS DATETIME) + CAST([GMT time] AS TIME) FROM  [1057].[Thompson0_uway.csv],SELECT CAST(CAST([GMT date] AS DATE) AS DATETIME) + CAST([GMT time] AS TIME) FROM  [1057].[Thompson0_uway.csv],Missing Column,[GMT time],{'[GMT time]':10},110,SELECT
"Select * From [1123].[BSoysterGENE] Left join [1123].[Mgo Expression (RPKM)] ON [1123].[BSoysterGENE].ID=[1123].[Mgo Expression (RPKM)]."".""","Select * From [1123].[BSoysterGENE] Left join [1123].[Mgo Expression (RPKM)] ON [1123].[BSoysterGENE].ID=[1123].[Mgo Expression (RPKM)]."".""",Missing Keywords,left,{left':5},139,SELECT
"SELECT  [Protein],  [SpC_C1A_15], [SpC_C1B_16], [SpC_C2_17], [SpC_C3_18], [SpC_T8A_21], [SpC_T10_22], [SpC_T11_23], [SpC_V13B_28], [SpC_V14_29], [SpC_V17_30], [SpC_VT21_33], [SpC_VT22_34], [SpC_VT23_35], [SpC_C2_41], [SpC_C1A_42], [SpC_C3_43], [SpC_T10_46], [SpC_T8A_47], [SpC_T11_50], [SpC_VT23_53], [SpC_VT21_54], [SpC_VT22_55], [SpC_C1A_15]+[SpC_C1B_16]+[SpC_C2_17]+[SpC_C3_18]+[SpC_T8A_21]+[SpC_T10_22]+[SpC_T11_23]+[SpC_V13B_28]+[SpC_V14_29]+[SpC_V17_30]+[SpC_VT21_33]+[SpC_VT22_34]+[SpC_VT23_35]+[SpC_C2_41]+[SpC_C1A_42]+[SpC_C3_43]+[SpC_T10_46]+[SpC_T8A_47]+[SpC_T11_50]+[SpC_VT23_53]+[SpC_VT21_54]+[SpC_VT22_55] AS [Sum SpC] FROM  [412].[Macoma_all_replicates.csv]",No modification,N/A,N/A,{},672,SELECT
"SELECT  [All Proteins], SUM (numuniquepepsCG26_01+numuniquepepsCG26_02+numuniquepepsCG26_03) AS [CG26 unique peps sum] FROM  [412].[Oyster 26 spec counts] GROUP BY  [All Proteins]","SELECT  [All Proteins], SUM (numuniquepepsCG26_01+numuniquepepsCG26_02+numuniquepepsCG26_03) AS [CG26 unique peps sum] FROM  [412].[Oyster 26 spec counts] GROUP BY  [All Proteins]",Missing Table,[Oyster 26 spec counts],{'[Oyster 26 spec counts]':25},179,SELECT
"SELECT  pdb_id,  res_index,  res_type ,  res_type_sh,  chain,  res_surface_area ,  CASE WHEN res_surface_area_ratio = 'NULL' THEN NULL ELSE CAST(res_surface_area_ratio as float) END res_surface_area_ratio ,  CASE WHEN phi = 'NULL' THEN NULL ELSE CAST(phi as float) END phi ,  CASE WHEN psi = 'NULL' THEN NULL ELSE CAST(psi as float) END psi FROM  [1267].[table_H2_w_2.csv]",No modification,N/A,N/A,{},372,SELECT
select * from tbl_expense,No modification,N/A,N/A,{},25,SELECT
SELECT  COUNT(*) FROM  [354].[all_CG_gene_count],No modification,N/A,N/A,{},48,SELECT
"SELECT  [All Proteins],  [CG2 unique peps sum],  [CG5 unique peps sum],  [CG8 unique peps sum],  [CG11 unique peps sum],  [CG26 unique peps sum],  [CG29 unique peps sum],  [CG32 unique peps sum],  [CG35 unique peps sum],  [CG221 unique peps sum],  [CG224 unique peps sum],  [CG227 unique peps sum],  [CG230 unique peps sum],  [CG242 unique peps sum],  [CG245 unique peps sum],  [CG248 unique peps sum],  [CG251 unique peps sum], CAST([CG2 avg SpC] AS FLOAT)/[protein length] AS [CG2 SpC/L], CAST([CG5 avg SpC] AS FLOAT)/[protein length] AS [CG5 SpC/L], CAST([CG8 avg SpC] AS FLOAT)/[protein length] AS [CG8 SpC/L], CAST([CG11 avg SpC] AS FLOAT)/[protein length] AS [CG11 SpC/L], CAST([CG26 avg SpC] AS FLOAT)/[protein length] AS [CG26 SpC/L], CAST([CG29 avg SpC] AS FLOAT)/[protein length] AS [CG29 SpC/L], CAST([CG32 avg SpC] AS FLOAT)/[protein length] AS [CG32 SpC/L], CAST([CG35 avg SpC] AS FLOAT)/[protein length] AS [CG35 SpC/L], CAST([CG221 avg SpC] AS FLOAT)/[protein length] AS [CG221 SpC/L], CAST([CG224 avg SpC] AS FLOAT)/[protein length] AS [CG224 SpC/L], CAST([CG227 avg SpC] AS FLOAT)/[protein length] AS [CG227 SpC/L], CAST([CG230 avg SpC] AS FLOAT)/[protein length] AS [CG230 SpC/L], CAST([CG242 avg SpC] AS FLOAT)/[protein length] AS [CG242 SpC/L], CAST([CG245 avg SpC] AS FLOAT)/[protein length] AS [CG245 SpC/L], CAST([CG248 avg SpC] AS FLOAT)/[protein length] AS [CG248 SpC/L], CAST([CG251 avg SpC] AS FLOAT)/[protein length] AS [CG251 SpC/L]",No modification,N/A,N/A,{},1461,SELECT
"SELECT  cruise ,  [file] ,  cast([time] as datetime2) as time ,  CAST(CASE WHEN lat LIKE '%[^0-9.-]%' THEN NULL ELSE lat END as FLOAT) as lat ,  CAST(CASE WHEN lon LIKE '%[^0-9.-]%' THEN NULL ELSE lon END as FLOAT) as lon ,  CAST(CASE WHEN opp_evt_ratio LIKE '%[^0-9.-]%' THEN NULL ELSE opp_evt_ratio END as FLOAT) as opp_evt_ratio ,  CAST(CASE WHEN flow_rate LIKE '%[^0-9.-]%' THEN NULL ELSE flow_rate END as FLOAT) as flow_rate ,  CAST(CASE WHEN file_duration LIKE '%[^0-9.-]%' THEN NULL ELSE file_duration END as FLOAT) as file_duration ,  pop ,  CAST(CASE WHEN n_count LIKE '%[^0-9.-]%' THEN NULL ELSE n_count END as FLOAT) as n_count ,  CAST(CASE WHEN abundance LIKE '%[^0-9.-]%' THEN NULL ELSE abundance END as FLOAT) as abundance ,  CAST(CASE WHEN fsc_small LIKE '%[^0-9.-]%' THEN NULL ELSE fsc_small END as FLOAT) as fsc_small ,  CAST(CASE WHEN chl_small LIKE '%[^0-9.-]%' THEN NULL ELSE chl_small END as FLOAT) as chl_small ,  CAST(CASE WHEN pe LIKE '%[^0-9.-]%' THEN NULL ELSE pe END as FLOAT) as pe FROM  [277].[stat.csv] ORDER BY  [time] DESC",No modification,N/A,N/A,{},1054,SELECT
SELECT  * FROM  [1123].[_BiGoM3cg5] where ratio > 0,SELECT   FROM  [1123].[_BiGoM3cg5] where ratio > 0,Missing Column,*,{'*': 2},51,SELECT
"SELECT  * FROM  [1123].[table_MgoTophat_cover_CDS_split_B] Where ""Column10"" > 20","SELECT  * FROM  [1123].[table_MgoTophat_cover_CDS_split_B] Where ""Column10"" > ",Missing Value,20,{'20': 8},80,SELECT
"SELECT  * FROM  [1123].[RobertsLab_PrimerDatabase] Where ""Designed By"" like '%chi%'",No modification,N/A,N/A,{},83,SELECT
select * from [354].[table_SPID_GOnumber.txt33304] UNION ALL select * from [354].[table_SPID_GOnumber.txtC5F89],SELECT * from [354].[table_SPID_GOnumber.txt33304] UNION ALL select * from [354].[table_SPID_GOnumber.txtC5F89],Missing Table,[354],{'[354]': 4},111,SELECT
SELECT  Len(sequence_gg) FROM  [1123].[TJGR_genomic_gene.txt] Where Len(sequence_gg) > 1000,No modification,N/A,N/A,{},91,SELECT
SELECT  COUNT (*) FROM ( SELECT  * FROM  [1123].[BiGill_methratio_v9_A.txt],SELECT  COUNT (*) FROM ( SELECT  * FROM  [1123].[BiGill_methratio_v9_A.txt],Missing Table,[BiGill_methratio_v9_A.txt],{'[BiGill_methratio_v9_A.txt]': 9},75,SELECT
"SELECT  res_type_sh,  pdb_id,  res_index FROM  [1267].[h2_w_2.csv] WHERE  res_type_sh ='K' OR  res_type_sh='F'",No modification,N/A,N/A,{},110,SELECT
SELECT  SUM(msgranted_total) FROM  [813].[table_oser11.csv],SELECT  (msgranted_total) FROM  [813].[table_oser11.csv],Missing Function,SUM,{'SUM': 2},59,SELECT
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02 LEFT JOIN  [101B_8_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_03.txt].proteinCG8_03 LEFT JOIN  [101B_11_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_11_01.txt].proteinCG11_01 LEFT JOIN  [101B_11_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_11_02.txt].proteinCG11_02 LEFT JOIN  [101B_11_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_11_03.txt].proteinCG11_03 LEFT JOIN  [101B_26_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_26_01.txt].proteinCG26_01 LEFT JOIN  [101B_26_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_26_02.txt].proteinCG26_02 LEFT JOIN  [101B_26_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_26_03.txt].proteinCG26_03 LEFT JOIN  [101B_29_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_29_01.txt].proteinCG29_01 LEFT JOIN  [101B_29_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_29_02.txt].proteinCG29_02 LEFT JOIN  [101B_29_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_29_03.txt].proteinCG29_03 LEFT JOIN  [101B_32_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_32_01.txt].proteinCG32_01,SELECT *  FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02 LEFT JOIN  [101B_8_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_03.txt].proteinCG8_03 LEFT JOIN  [101B_11_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_11_01.txt].proteinCG11_01 LEFT JOIN  [101B_11_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_11_02.txt].proteinCG11_02 LEFT JOIN  [101B_11_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_11_03.txt].proteinCG11_03 LEFT JOIN  [101B_26_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_26_01.txt].proteinCG26_01 LEFT JOIN  [101B_26_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_26_02.txt].proteinCG26_02 LEFT JOIN  [101B_26_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_26_03.txt].proteinCG26_03 LEFT JOIN  [101B_29_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_29_01.txt].proteinCG29_01 LEFT JOIN  [101B_29_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_29_02.txt].proteinCG29_02 LEFT JOIN  [101B_29_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_29_03.txt].proteinCG29_03 LEFT JOIN  [101B_32_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_32_01.txt].proteinCG32_01,Missing Table,[All Proteins],{},2356,SELECT
"SELECT  [All Proteins], CAST([CG2 total SpC] AS FLOAT)/3 as [CG2 avg SpC], CAST([CG5 total SpC] AS FLOAT)/3 as [CG5 avg SpC], CAST([CG8 total SpC] AS FLOAT)/3 as [CG8 avg SpC], CAST([CG11 total SpC] AS FLOAT)/3 as [CG11 avg SpC], CAST([CG26 total SpC] AS FLOAT)/3 as [CG26 avg SpC], CAST([CG29 total SpC] AS FLOAT)/3 as [CG29 avg SpC], CAST([CG32 total SpC] AS FLOAT)/3 as [CG32 avg SpC], CAST([CG35 total SpC] AS FLOAT)/3 as [CG35 avg SpC], CAST([CG221 total SpC] AS FLOAT)/3 as [CG221 avg SpC], CAST([CG224 total SpC] AS FLOAT)/3 as [CG224 avg SpC], CAST([CG227 total SpC] AS FLOAT)/3 as [CG227 avg SpC], CAST([CG230 total SpC] AS FLOAT)/3 as [CG230 avg SpC], CAST([CG242 total SpC] AS FLOAT)/3 as [CG242 avg SpC], CAST([CG245 total SpC] AS FLOAT)/3 as [CG245 avg SpC], CAST([CG248 total SpC] AS FLOAT)/3 as [CG248 avg SpC], CAST([CG251 total SpC] AS FLOAT)/3 as [CG251 avg SpC] FROM  [412].[Total SpC per oyster]"," SELECT  [All Proteins], CAST([CG2 total SpC] AS )/3 as [CG2 avg SpC], CAST([CG5 total SpC] AS FLOAT)/3 as [CG5 avg SpC], CAST([CG8 total SpC] AS FLOAT)/3 as [CG8 avg SpC], CAST([CG11 total SpC] AS FLOAT)/3 as [CG11 avg SpC], CAST([CG26 total SpC] AS FLOAT)/3 as [CG26 avg SpC], CAST([CG29 total SpC] AS FLOAT)/3 as [CG29 avg SpC], CAST([CG32 total SpC] AS FLOAT)/3 as [CG32 avg SpC], CAST([CG35 total SpC] AS FLOAT)/3 as [CG35 avg SpC], CAST([CG221 total SpC] AS FLOAT)/3 as [CG221 avg SpC], CAST([CG224 total SpC] AS FLOAT)/3 as [CG224 avg SpC], CAST([CG227 total SpC] AS FLOAT)/3 as [CG227 avg SpC], CAST([CG230 total SpC] AS FLOAT)/3 as [CG230 avg SpC], CAST([CG242 total SpC] AS FLOAT)/3 as [CG242 avg SpC], CAST([CG245 total SpC] AS FLOAT)/3 as [CG245 avg SpC], CAST([CG248 total SpC] AS FLOAT)/3 as [CG248 avg SpC], CAST([CG251 total SpC] AS FLOAT)/3 as [CG251 avg SpC] FROM  [412].[Total SpC per oyster]",Missing Keywords,FLOAT,{'FLOAT': 8},915,SELECT
SELECT  * FROM  [206].[SQLTest5-1.txt],No modification,N/A,N/A,{},38,SELECT
"SELECT  substring('008573', 1, 2)",No modification,N/A,N/A,{},33,SELECT
SELECT  * FROM  [299].[seastar_clc_uniprot_sprot_2.tab]blast Left join [1123].[uniprot-reviewed_wGO_010714]unp on blast.Column3=unp.Entry Where Pathway like '%immune%',No modification,N/A,N/A,{},167,SELECT
SELECT Column1 Column2,No modification,N/A,N/A,{},22,SELECT
"SELECT DATETIMEFROM PARTS(2000+year, month, day, hour,  minute, second, 0) as timestamp, [long.dc], [lat.dc], T1, S, chl FROM  [1057].[Tokyo2_uway_timestamp]",No modification,N/A,N/A,{},157,SELECT
"SELECT  stations.*, underway.* FROM  [446].[Underway_GeoMICS.csv] underway JOIN  [446].[Stations] stations ON sqrt( power(stations.[Latitude..Decimal.deg.] - underway.[lat.degN], 2) + power(stations.[Longitude..Decimal.deg.] - underway.[long.degW]+360, 2)) < 10","SELECT  stations.*, underway.* FROM  [446].[Underway_GeoMICS.csv] underway JOIN  [446].[Stations] stations ON ( power(stations.[Latitude..Decimal.deg.] - underway.[lat.degN], 2) + power(stations.[Longitude..Decimal.deg.] - underway.[long.degW]+360, 2)) < 10",Missing Function,sqrt,{'sqrt': 11},261,SELECT
"SELECT [protein] AS [proteinCG5_02], [num unique peps] AS [numuniquepepsCG5_02], [tot indep spectra] AS [totspecCG5_02] FROM  [412].[table_101B_5_02.txt]",No modification,N/A,N/A,{},153,SELECT
SELECT TimeJ * (60*60*24) as TimeInSec FROM  [1057].[table_underway_data_MBARI_1.csv],SELECT TimeJ * (60*60*24) as TimeInSec FROM  [1057].[table_underway_data_MBARI_1.csv],Missing Table,[table_underway_data_MBARI_1.csv],{'[table_underway_data_MBARI_1.csv]': 8},85,SELECT
"SELECT  S.LAT,  S.LON,  S.[file], T.[OCEAN.TEMP], T.SALINITY, S.day, S.[BULK.RED] FROM  [1057].[Tokyo1_sds_timestamp] as S, [1057].[Tokyo1_sds_TS] as T WHERE  S.timestamp = T.timestamp",No modification,N/A,N/A,{},184,SELECT
select * FROM  [1123].[BiGill_methratio_gene_genomic_F.txt] bg where context like '__CG_' --_=single character wildcard and CT_Count > 9,No modification,N/A,N/A,{},136,SELECT
"SELECT  InterproEntry,  InterproIdHits,  Interpro_desc_Ox FROM  [826].[RealThapsBestEvalueOxHitCounts] JOIN  [826].[AllOxInterProIds.tab.txt] ON InterproId_Ox = InterproEntry order by InterproIdHits DESC",No modification,N/A,N/A,{},203,SELECT
"WITH  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  * FROM  bounds","WITH  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  * FROM  bounds",Missing Column,latitude,{'latitude': 15},197,OTHER
"WITH  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  (latitude-bounds.minLat)/0.1 from data, bounds","WITH  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  ) SELECT  (latitude-bounds.minLat)/0.1 from data, bounds",N/A,N/A,{},229,OTHER
"WITH  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  (data.latitude-bounds.minLat)/0.1 AS latBin,  (data.longitude-bounds.minLong)/0.1 AS longBin from data,  bounds","WITH  data (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  (data.latitude-bounds.minLat)/0.1 AS latBin,  (data.longitude-bounds.minLong)/0.1 AS longBin from data,  bounds",Missing Function,AS ,{'AS':3},294,OTHER
"WITH  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data), binnedSpecies AS (SELECT  data.species, floor((data.latitude-bounds.minLat)/0.1) AS latBin,  floor((data.longitude-bounds.minLong)/0.1) AS longBin FROM  data,  bounds) SELECT  latBin AS count, longBin, COUNT(species) FROM  binnedSpecies GROUP BY  latBin, longBin","WITH  data (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data), binnedSpecies AS (SELECT  data.species, floor((data.latitude-bounds.minLat)/0.1) AS latBin,  floor((data.longitude-bounds.minLong)/0.1) AS longBin FROM  data,  bounds) SELECT  latBin AS count, longBin, COUNT(species) FROM  binnedSpecies GROUP BY  latBin, longBin",Missing Function,AS ,{'AS':3},438,OTHER
"WITH  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data), binnedSpecies AS (SELECT  data.species, floor((data.latitude-bounds.minLat)/0.1) AS latBin,  floor((data.longitude-bounds.minLong)/0.1) AS longBin FROM  data,  bounds) SELECT  latBin, longBin, COUNT(species) AS numSpecies FROM  binnedSpecies GROUP BY  latBin, longBin","  data AS (SELECT  * from [690].[All3col]), bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data), binnedSpecies AS (SELECT  data.species, floor((data.latitude-bounds.minLat)/0.1) AS latBin,  floor((data.longitude-bounds.minLong)/0.1) AS longBin FROM  data,  bounds) SELECT  latBin, longBin, COUNT(species) AS numSpecies FROM  binnedSpecies GROUP BY  latBin, longBin",Missing Keywords,WITH,{'WITH': 1},443,OTHER
"WITH  data AS (SELECT  * FROM  [690].[All3col]), bounds (minLat, minLong) AS (SELECT  min(latitude), min(longitude) FROM  data), binnedSpecies AS (SELECT  data.species, floor((data.latitude-bounds.minLat)/0.1) AS latBin,  floor((data.longitude-bounds.minLong)/0.1) AS longBin FROM  data,  bounds), binnedSpeciesCount AS (SELECT  latBin, longBin, COUNT(species) AS numSpecies FROM  binnedSpecies GROUP BY  latBin, longBin) SELECT  * from binnedSpeciesCount","WITH  data AS (  * FROM  [690].[All3col]), bounds (minLat, minLong) AS (SELECT  min(latitude), min(longitude) FROM  data), binnedSpecies AS (SELECT  data.species, floor((data.latitude-bounds.minLat)/0.1) AS latBin,  floor((data.longitude-bounds.minLong)/0.1) AS longBin FROM  data,  bounds), binnedSpeciesCount AS (SELECT  latBin, longBin, COUNT(species) AS numSpecies FROM  binnedSpecies GROUP BY  latBin, longBin) SELECT  * from binnedSpeciesCount",Missing Function,SELECT,{'SELECT':4},455,OTHER
SELECT  OBSERVER_ID  FROM  [1231].[NatureMapping_historic1.csv],No modification,N/A,N/A,{},63,SELECT
"SELECT  * FROM  [1314howe].[UW employees,  salary and department] where title = 'senior fellow'",No modification,N/A,N/A,{},95,SELECT
SELECT  * FROM  [1314howe].[table_Hoodcanal2011corrected.xlsx_December-08.csv] WHERE  Station = 'None',SELECT  * FROM  [1314howe].[table_Hoodcanal2011corrected.xlsx_December-08.csv] WHERE  Station = 'None',Missing Table,[1314howe],{'[1314howe]': 4},102,SELECT
"SELECT  *, T1D5ratio + M3ratio as new FROM  [1123].[sqlrT1D5.txt]t1d5 left join [1123].[sqlrM3.txt]m3 on t1d5.T1D5loci=m3.M3loci",No modification,N/A,N/A,{},128,SELECT
"SELECT  * FROM  [1123].[table_MgoTophat_cover_CDS_split_B] Where ""Column12"" > 20","SELECT   FROM  [1123].[table_MgoTophat_cover_CDS_split_B] Where ""Column12"" > 20",Missing Column,*,{'*': 2},80,SELECT
SELECT  DISTINCT [peptide] FROM  [412].[bact detection redundant peptides],No modification,N/A,N/A,{},74,SELECT
SELECT  * FROM  [1123].[BSoysterGENE_wMgoExpression],No modification,N/A,N/A,{},52,SELECT
"select short_desc,  replace(short_desc,  ' ',  '_') as name from 1385_queries --)","SELECT short_desc, (short_desc,  ' ',  '_') as name from 1385_queries --)",Missing Function,replace,{'replace': 3},81,SELECT
"SELECT  avg(salary) FROM  [1314howe].[UW employees,  salary and department] WHERE  title like '%SOFTWARE%'",No modification,N/A,N/A,{},106,SELECT
"select date,  min(time),  max(time) from [1002].[Tokyo_1_suna.csv] group by date","select date,  (time),  max(time) from [1002].[Tokyo_1_suna.csv] group by date",Missing Function,min,{'min': 3},80,SELECT
SELECT  * FROM  [1314howe].[UW 2010 Salaries] WHERE  job_title like 'R%EER %S%',SELECT  * FROM  [1314howe].[UW 2010 Salaries] WHERE  job_title like 'R%EER %S%',Missing Column,job_title,{'job_title': 8},79,SELECT
"SELECT  'Cruise' AS [Cruise] ,  '*' AS [Station] ,  '1/1/2012' AS [mon/day/yr] ,  '00:00:00' AS [hh:mm] ,  longitude AS [Lon] ,  latitude AS [Lat] ,  depth AS [Bot. Depth] ,  event ,  temperature ,  salinity ,  conductivity ,  fluorescence ,  oxygen ,  [par.irradiance] ,  flag FROM  [446].[V2_GeoMICS_ctd_rawdata.csv]",No modification,N/A,N/A,{},318,SELECT
"SELECT  followee,  count(*) as degree FROM  [354].[twitter_rv.6200000] GROUP BY  followee ORDER BY  degree ASC","SELECT  followee,  count(*) as degree FROM  [354].[twitter_rv.6200000] GROUP BY  followee BY  degree ASC",Missing Keywords,ORDER,{'ORDER': 11},110,SELECT
"WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) SELECT  TOP 10 * FROM  Numbered","WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) SELECT  TOP 10 * FROM  Numbered",Missing Column,Numbered,{'Numbered': 2},166,OTHER
SELECT  count(*) FROM  [1314howe].[Seattle_Police_Department_Police_Report_Offense.csv] i SELECT  count(*) FROM  [1314howe].[table_Seattle_Police_Department_Police_Report_Incident.csv] i,No modification,N/A,N/A,{},186,SELECT
"SELECT  distinct transcriptId,  Si_logConc,  Si_logFC, Si_pvalue,  proteinId,  ecNum,  definition,  catalyticActivity, cofactors FROM  [826].[Si_8x_transcriptId_KEGG]",No modification,N/A,N/A,{},166,SELECT
"SELECT  [protein] AS [protein 8FE.2], [protein probability] AS [probability 8FE.2], [tot indep spectra] AS [tot spectra 8FE.2] FROM  [412].[table_interact-2015_May_26_Geoduck_47.prot.xls]","SELECT  [protein] AS [protein 8FE.2], [protein probability] AS [probability 8FE.2], [tot indep spectra] AS [tot spectra 8FE.2]  [412].[table_interact-2015_May_26_Geoduck_47.prot.xls]",Missing Keywords,FROM,{'FROM': 18},187,SELECT
"select [date],  2500*0.25/9 as [Total Fat] from ( select top 180 dateadd(month,  6,  [Date]) as [date] FROM  [1314howe].[categorized_fat_with_calories] order by [Date] desc ) x UNION ALL select [Date],  [Total Fat] from [1314howe].[categorized_fat_with_calories]",No modification,N/A,N/A,{},262,SELECT
"SELECT [Column1] AS [Query], [Column2] AS [Subject], [Column3] AS [perc ID], [Column4] AS [align lengths], [Column5] AS [mismatches], [Column6] AS [gap openings], [Column7] AS [query start], [Column8] AS [query end], [Column9] AS [subject start], [Column10] AS [subject end], [Column11] AS [e-value], [Column12] AS [bit score] FROM  [412].[table_Brest_proteins_blastpout_12prot]","SELECT [Column1] AS [Query], [Column2] AS [Subject], [Column3] AS [perc ID], [Column4] AS [align lengths], [Column5] AS [mismatches], [Column6] AS [gap openings], [Column7] AS [query start], [Column8] AS [query end], [Column9] AS [subject start], [Column10] AS [subject end], [Column11] AS [e-value], [Column12] AS [bit score] FROM  [412].[table_Brest_proteins_blastpout_12prot]",Missing Column,[query end],{'[query end]':30},378,SELECT
SELECT  avg([Total Fat]) FROM  [1314howe].[total_fat_6_month_projection] past,No modification,N/A,N/A,{},77,SELECT
"select distinct journal from article where journal in ('PVLDB',  'VLDB J.')",No modification,N/A,N/A,{},75,SELECT
